ImageNumber,FileER,FileHoechst,FileMito,FilePh,FileSyto,ROLE,ID,MMOL,PLATE_MAP_NAME,SMILES,WELL,PLATE,COMPOUND,SOURCE,SITE,TIME
1,IXMtest_A01_s1_w22CA7BDF3-1425-4AE6-8E57-9C004D6F7FF2.tif,IXMtest_A01_s1_w164FBEEF7-F77C-4892-86F5-72D0160D4FB2.tif,IXMtest_A01_s1_w58DA6AF62-1799-4B85-BE17-744E12ADC245.tif,IXMtest_A01_s1_w47457436C-5BE7-4DA2-B966-CCF64B9F0088.tif,IXMtest_A01_s1_w3FD54227A-6BE4-460B-8E2C-54B8709F6E33.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,1,1.26754E+12
2,IXMtest_A01_s2_w246FFAEE1-BEB6-4C81-913B-B979EC0C4BC3.tif,IXMtest_A01_s2_w1AA6B1894-F561-42EE-9D1D-E21E5C741B75.tif,IXMtest_A01_s2_w50F1562CD-EBCF-408E-9D8D-F6F0FDD746C8.tif,IXMtest_A01_s2_w46657239A-5AFE-4C29-BB9B-49978EFE4791.tif,IXMtest_A01_s2_w3A597237B-C3D7-43AE-8399-83E76DA1532D.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,2,1.26754E+12
3,IXMtest_A01_s3_w22AD5BD08-58A3-466D-A364-BE116BD98696.tif,IXMtest_A01_s3_w108F3A6FF-A865-40A1-8488-9A5BA31605A9.tif,IXMtest_A01_s3_w5489716D4-2D06-45BE-8D68-F2EEE857929D.tif,IXMtest_A01_s3_w47B5F2FF6-A5A2-4101-AC2A-0A821FDE7445.tif,IXMtest_A01_s3_w30B946780-C923-4A40-8EC5-16262CFF03A6.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,3,1.26754E+12
4,IXMtest_A01_s4_w231D1EC99-22A8-47A8-9691-691906FA558E.tif,IXMtest_A01_s4_w189967984-D8CB-4449-9CE5-EE2E5F1B8ED4.tif,IXMtest_A01_s4_w5D0566314-B9B2-4299-98AC-9BC33CA94192.tif,IXMtest_A01_s4_w47E34AB5F-23B4-42E1-8B5B-93AB750DA038.tif,IXMtest_A01_s4_w3F582BADD-2249-48D6-BC19-1B4C166A2122.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,4,1.26754E+12
5,IXMtest_A01_s5_w2B3F07F02-876D-455B-94E4-35A0802022FD.tif,IXMtest_A01_s5_w1DCC72C3D-6ABF-4D49-897E-5F35679A166D.tif,IXMtest_A01_s5_w513201EB0-3500-4A0C-8FAC-9468E5195D1D.tif,IXMtest_A01_s5_w4AFA01300-7373-42C4-872F-0375FA56ECAC.tif,IXMtest_A01_s5_w3EB7ABD45-EE05-41A0-979E-7F3056233176.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,5,1.26754E+12
6,IXMtest_A01_s6_w27F5A3544-E7D1-4B26-AFD0-416B9F6666B7.tif,IXMtest_A01_s6_w11258626E-836F-4028-A3CB-50B83C60EAFF.tif,IXMtest_A01_s6_w5724C008F-7724-45C3-9175-14CB1B83D10A.tif,IXMtest_A01_s6_w4946663A1-86AC-40DF-943A-4E08B1CD13D9.tif,IXMtest_A01_s6_w3AB6348D8-0D46-488E-A7F5-28C7154735C0.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,6,1.26754E+12
7,IXMtest_A01_s7_w295CAF1E1-B818-4677-893C-12C7F2DED413.tif,IXMtest_A01_s7_w179C24BDB-EF90-4FE8-BA34-932EA0272FCE.tif,IXMtest_A01_s7_w59DF62B1E-DFA1-43CC-8E5A-E728330183F2.tif,IXMtest_A01_s7_w4F1F709F2-75BD-4C97-8C05-F9DDB5FE4BC9.tif,IXMtest_A01_s7_w31942FB3D-6A47-4BC7-9E29-B1F3A8315EEE.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,7,1.26754E+12
8,IXMtest_A01_s8_w25D5AAB6A-DAA9-4B11-83B1-3FB83E67C7BC.tif,IXMtest_A01_s8_w1032E967C-5DCF-45C9-A460-2F9FF2234C24.tif,IXMtest_A01_s8_w5DDA6A97F-74B1-4885-B7E2-A45D548546EB.tif,IXMtest_A01_s8_w4A92050CA-2700-43B3-B6C9-DFEDDB126BFB.tif,IXMtest_A01_s8_w32DF8A9F7-6B3A-4CAF-A4F7-6B21886EB183.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,8,1.26754E+12
9,IXMtest_A01_s9_w296CDDB9B-6E01-4728-808C-B75F055DD8A4.tif,IXMtest_A01_s9_w144EC6EFC-4CAE-411A-B641-EDA50D0E1550.tif,IXMtest_A01_s9_w502337C9E-8FAB-4160-A7DC-03AC77E687D8.tif,IXMtest_A01_s9_w4ED8064A5-A59B-4467-97FF-5D233832619D.tif,IXMtest_A01_s9_w31798561A-387E-4234-B6FF-91E8553A153D.tif,compound,BRD-K98763141-001-06-8,8.858401198,H-BIOA-002-1,OC(=O)c1cccnc1Nc2cccc(c2)C(F)(F)F,A01,20585,NIFLUMIC ACID,Biomol International Inc.,9,1.26754E+12
109,IXMtest_A13_s1_w2B3E3B796-D542-4E9F-9F28-FEC907015236.tif,IXMtest_A13_s1_w1B35C6D5D-DBF9-4779-990D-5E7AFB14D600.tif,IXMtest_A13_s1_w5B257EE32-37B0-4698-891B-11B1B3D3D0C1.tif,IXMtest_A13_s1_w48CF5C9AA-6C5E-4B05-930E-68C9A050873E.tif,IXMtest_A13_s1_w3326B66A4-F69B-4615-9DAC-4A97666229C0.tif,mock,,,H-BIOA-002-1,,A13,20585,,,1,1.26755E+12
